,team1,team2,winner,margin,ground,match_date
232,India,Australia,Australia,4 wickets,Mohali,"Mar 10, 2019"
233,India,Australia,Australia,35 runs,Delhi,"Mar 13, 2019"
234,India,South Africa,India,6 wickets,Southampton,"Jun 5, 2019"
235,Australia,India,India,36 runs,The Oval,"Jun 9, 2019"
236,India,Pakistan,India,89 runs,Manchester,"Jun 16, 2019"
237,Afghanistan,India,India,11 runs,Southampton,"Jun 22, 2019"
238,India,West Indies,India,125 runs,Manchester,"Jun 27, 2019"
239,England,India,England,31 runs,Birmingham,"Jun 30, 2019"
240,Bangladesh,India,India,28 runs,Birmingham,"Jul 2, 2019"
241,India,Sri Lanka,India,7 wickets,Leeds,"Jul 6, 2019"
242,India,New Zealand,New Zealand,18 runs,Manchester,"Jul 9-10, 2019"
243,West Indies,India,no result,,Providence,"Aug 8, 2019"
244,West Indies,India,India,59 runs,Port of Spain,"Aug 11, 2019"
245,West Indies,India,India,6 wickets,Port of Spain,"Aug 14, 2019"
246,India,West Indies,West Indies,8 wickets,Chennai,"Dec 15, 2019"
247,India,West Indies,India,107 runs,Visakhapatnam,"Dec 18, 2019"
248,India,West Indies,India,4 wickets,Cuttack,"Dec 22, 2019"
